date,day,total_delay_time,n,mean_delay_time
2023-02-18T00:00:00Z,Saturday,89,40,2.225
2023-02-19T00:00:00Z,Sunday,64,55,1.1636363636363636
2023-02-20T00:00:00Z,Monday,98,51,1.9215686274509804
2023-02-21T00:00:00Z,Tuesday,50,63,0.7936507936507936
2023-02-22T00:00:00Z,Wednesday,152,65,2.3384615384615386
2023-02-23T00:00:00Z,Thursday,196,72,2.7222222222222223
2023-02-24T00:00:00Z,Friday,308,69,4.463768115942029
2023-02-25T00:00:00Z,Saturday,165,64,2.578125
2023-02-26T00:00:00Z,Sunday,165,60,2.75
2023-02-27T00:00:00Z,Monday,81,49,1.653061224489796
2023-02-28T00:00:00Z,Tuesday,172,70,2.4571428571428573
2023-03-01T00:00:00Z,Wednesday,227,75,3.026666666666667
2023-03-02T00:00:00Z,Thursday,96,56,1.7142857142857142
2023-03-03T00:00:00Z,Friday,180,58,3.103448275862069
2023-03-04T00:00:00Z,Saturday,93,57,1.631578947368421
2023-03-05T00:00:00Z,Sunday,175,35,5
2023-03-06T00:00:00Z,Monday,298,66,4.515151515151516
2023-03-07T00:00:00Z,Tuesday,170,52,3.269230769230769
2023-03-08T00:00:00Z,Wednesday,331,70,4.728571428571429
2023-03-09T00:00:00Z,Thursday,134,72,1.8611111111111112
2023-03-10T00:00:00Z,Friday,174,74,2.3513513513513513
2023-03-11T00:00:00Z,Saturday,331,59,5.610169491525424
2023-03-12T00:00:00Z,Sunday,164,71,2.3098591549295775
2023-03-13T00:00:00Z,Monday,273,63,4.333333333333333
2023-03-14T00:00:00Z,Tuesday,239,73,3.2739726027397262
2023-03-15T00:00:00Z,Wednesday,224,85,2.635294117647059
2023-03-16T00:00:00Z,Thursday,147,62,2.370967741935484
2023-03-17T00:00:00Z,Friday,153,53,2.8867924528301887
2023-03-18T00:00:00Z,Saturday,126,53,2.3773584905660377
2023-03-19T00:00:00Z,Sunday,93,48,1.9375
2023-03-20T00:00:00Z,Monday,161,58,2.7758620689655173
2023-03-21T00:00:00Z,Tuesday,188,71,2.647887323943662
2023-03-22T00:00:00Z,Wednesday,196,67,2.925373134328358
2023-03-23T00:00:00Z,Thursday,427,80,5.3375
2023-03-24T00:00:00Z,Friday,271,85,3.1882352941176473
2023-03-25T00:00:00Z,Saturday,161,61,2.639344262295082
2023-03-26T00:00:00Z,Sunday,133,49,2.7142857142857144
2023-03-27T00:00:00Z,Monday,213,81,2.6296296296296298
2023-03-28T00:00:00Z,Tuesday,280,81,3.45679012345679
2023-03-29T00:00:00Z,Wednesday,258,85,3.0352941176470587
2023-03-30T00:00:00Z,Thursday,224,80,2.8
2023-03-31T00:00:00Z,Friday,209,81,2.580246913580247
2023-04-01T00:00:00Z,Saturday,122,65,1.876923076923077
2023-04-02T00:00:00Z,Sunday,148,56,2.642857142857143
2023-04-03T00:00:00Z,Monday,217,85,2.552941176470588
